Player name            Character GP    Ship GP    Total GP
-------------------  --------------  ---------  ----------
Cathers                     2520602    1451626     3972228
TrishLord99                 2096669    1360138     3456807
Orleans the First           1749831    1221322     2971153
Sparklelord                 2002541    1181032     3183573
zepplin                     2593982    1598893     4192875
Thorongil                   1623679    1156984     2780663
Miahalex420                 1877802    1110222     2987029
Sparklemissus               1489362     888875     2377716
Bad Pappy                   1869472    1209218     3078690
Emberwild                   2564328    1668243     4229323
Fear the Reaper             2204334    1427338     3631672
William T Riker             2300484    1407266     3707750
Grimaldi                    1840007    1092722     2932437
Phanatic                    2274456    1462098     3732934
CipherNine9                 2008922    1527872     3536794
Kriz                        2195322    1280183     3474760
Angelus Nex                 2230358    1404668     3635026
ViperPete                   2286011    1663687     3949698
Spike9660                   1465459     954613     2419291
SLOAN                       2066835    1192221     3259056
Dasherga                    1640218    1195326     2835544
Lacutas                     2521210    1599892     4120902
Gladio Oppresso             2193773    1433365     3627138
NightWalker                 2242894    1374995     3615114
En Brigar                   1982050    1306464     3285599
Terja Washr                 2013316    1263021     3276337
Jordey Dathas               2067118    1310228     3374819
Bestorama                   1724421    1306141     3030562
Zoo Nami                    2172366    1617286     3789652
Sinidius                    2490651    1454145     3944796
Cyan Sparrow                2002408    1399343     3401751
Nivek Balock                2333813    1338124     3671937
BlockDesperado              2451220    1558824     4010044
kristilovescake             1650153    1246413     2895546
lil' Q                      1369436     964865     2334301
crazytaco                   2540349    1611702     4151296
D4rth M4ul                  2145062    1585765     3730827
LetQuigonsbeQuigons         2374438    1438443     3812881
DBCooper                    1930337    1274613     3204950
process                     2203065    1474299     3677364
ERIC SEABLADE               2190503    1399984     3590487
gnz                         1137319     743116     1880435
Taffyforce                  2337726    1340777     3678503
Taco                        1419297     793531     2212828
RamblinAlaskan7             2443715    1498624     3942339
gamerigo17                  1869244    1002774     2872018
FartMaster                  1547738     820088     2367138
mko                         2791946    1808152     4597435
